Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-June-2022,967.40,974.80,964.05,968.65,966.286199739167171800,54441,1747,52605587.00,41393,76.03,10.75,1.25
14-June-2022,960.00,970.00,952.85,964.10,960.687155457552370452,25396,1575,24397611.00,6966,27.43,17.15,4.10
13-June-2022,963.00,984.05,948.15,954.10,969.803746155996645233,89425,2860,86724700.00,14904,16.67,35.90,-8.90
10-June-2022,963.15,970.90,961.00,966.75,967.339907515739038386,17949,1323,17362784.00,9444,52.62,9.90,3.60
9-June-2022,967.70,974.00,955.05,972.15,967.647236132043366230,20569,1362,19903536.00,3560,17.31,18.95,4.45
8-June-2022,968.10,974.20,957.05,961.50,963.371459908339535430,25529,1913,24593910.00,4965,19.45,17.15,-6.60
7-June-2022,966.00,978.65,962.05,972.95,971.944191972334870916,175817,2575,170884312.00,14840,8.44,16.60,6.95
6-June-2022,954.05,979.70,954.05,976.20,973.069163265850470779,37491,2305,36481336.00,9739,25.98,25.65,22.15
3-June-2022,977.70,999.00,956.75,961.25,974.451273684720629331,61907,2641,60325355.00,13780,22.26,42.25,-16.45
2-June-2022,989.90,1006.85,977.05,987.40,993.098686318487664210,37452,1876,37193532.00,10166,27.14,29.80,-2.50
1-June-2022,991.00,998.70,980.30,983.15,989.087409642781949610,28498,1895,28187013.00,8870,31.12,18.40,-7.85
31-May-2022,990.00,1004.65,978.95,993.85,992.389609864972681458,99017,3954,98263442.00,33947,34.28,25.70,3.85
30-May-2022,966.30,992.00,966.30,987.20,985.667400234741784037,68160,2150,67183090.00,27890,40.92,25.70,20.90
27-May-2022,970.70,978.40,960.10,966.30,967.281308003057102303,36636,1959,35437318.00,16476,44.97,18.30,-4.40
26-May-2022,971.50,977.00,960.20,964.40,965.262467435802009676,32244,2313,31123923.00,16998,52.72,16.80,-7.10
25-May-2022,974.95,986.00,969.60,971.35,977.726383736141193626,46631,3391,45592359.00,17621,37.79,16.40,-3.60
24-May-2022,975.00,977.10,962.00,970.50,970.381581549903081609,25279,1873,24530276.00,7932,31.38,15.10,-4.50
23-May-2022,978.60,987.35,966.40,970.55,978.134353144808551446,42753,2497,41818178.00,19783,46.27,20.95,-8.05
20-May-2022,935.00,982.70,935.00,978.60,973.151818242034841359,90582,3699,88150038.00,28338,31.28,47.70,43.60
